packet_id,difficulty,doc_type,category,prompt_file,entity_count,total_value
N1_easy_70001,N1_easy,acord_101,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_125,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_140,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_160,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_24,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_25,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_27,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_28,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_35,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_45,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,acord_75,acord_form,acord_form_extraction.md,,
N1_easy_70001,N1_easy,broker_narrative,narrative,narrative_extraction.md,,
N1_easy_70001,N1_easy,dec_page,dec_page,dec_page_extraction.md,,
N1_easy_70001,N1_easy,engineering_report,engineering_report,engineering_report_extraction.md,8,
N1_easy_70001,N1_easy,financial_statement,financial_statement,financial_statement_extraction.md,,
N1_easy_70001,N1_easy,financial_statement_excel,financial_statement,financial_statement_extraction.md,,
N1_easy_70001,N1_easy,hybrid_workbook,workbook,narrative_extraction.md,,
N1_easy_70001,N1_easy,loss_run,loss_run,loss_run_extraction.md,3,303232.6
N1_easy_70001,N1_easy,loss_run_csv,loss_run,loss_run_extraction.md,3,303232.6
N1_easy_70001,N1_easy,loss_run_excel,loss_run,loss_run_extraction.md,3,303232.6
N1_easy_70001,N1_easy,policy_form,narrative,narrative_extraction.md,,
N1_easy_70001,N1_easy,sov,sov,sov_extraction.md,8,314984000
N1_easy_70001,N1_easy,sov_excel,sov,sov_extraction.md,8,314984000
N1_easy_70001,N1_easy,supplemental_app,narrative,narrative_extraction.md,,
N1_easy_70001,N1_easy,supplemental_schedule_excel,workbook,narrative_extraction.md,,
N2_normal_70002,N2_normal,acord_101,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_125,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_140,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_160,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_24,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_25,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_27,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_28,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_35,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_45,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,acord_75,acord_form,acord_form_extraction.md,,
N2_normal_70002,N2_normal,broker_narrative,narrative,narrative_extraction.md,,
N2_normal_70002,N2_normal,dec_page,dec_page,dec_page_extraction.md,,
N2_normal_70002,N2_normal,engineering_report,engineering_report,engineering_report_extraction.md,9,
N2_normal_70002,N2_normal,financial_statement,financial_statement,financial_statement_extraction.md,,
N2_normal_70002,N2_normal,financial_statement_excel,financial_statement,financial_statement_extraction.md,,
N2_normal_70002,N2_normal,hybrid_workbook,workbook,narrative_extraction.md,,
N2_normal_70002,N2_normal,loss_run,loss_run,loss_run_extraction.md,2,238554.44
N2_normal_70002,N2_normal,loss_run_csv,loss_run,loss_run_extraction.md,2,238554.44
N2_normal_70002,N2_normal,loss_run_excel,loss_run,loss_run_extraction.md,2,238554.44
N2_normal_70002,N2_normal,policy_form,narrative,narrative_extraction.md,,
N2_normal_70002,N2_normal,sov,sov,sov_extraction.md,9,251345000
N2_normal_70002,N2_normal,sov_excel,sov,sov_extraction.md,9,251345000
N2_normal_70002,N2_normal,supplemental_app,narrative,narrative_extraction.md,,
N2_normal_70002,N2_normal,supplemental_schedule_excel,workbook,narrative_extraction.md,,
N3_hard_70003,N3_hard,acord_101,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_125,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_126,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_130,narrative,narrative_extraction.md,,
N3_hard_70003,N3_hard,acord_133,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_140,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_160,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_24,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_25,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_27,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_28,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_35,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_45,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,acord_75,acord_form,acord_form_extraction.md,,
N3_hard_70003,N3_hard,broker_narrative,narrative,narrative_extraction.md,,
N3_hard_70003,N3_hard,dec_page,dec_page,dec_page_extraction.md,,
N3_hard_70003,N3_hard,engineering_report,engineering_report,engineering_report_extraction.md,8,
N3_hard_70003,N3_hard,experience_mod,narrative,narrative_extraction.md,,
N3_hard_70003,N3_hard,experience_mod_excel,workbook,narrative_extraction.md,,
N3_hard_70003,N3_hard,financial_statement,financial_statement,financial_statement_extraction.md,,
N3_hard_70003,N3_hard,financial_statement_excel,financial_statement,financial_statement_extraction.md,,
N3_hard_70003,N3_hard,hybrid_workbook,workbook,narrative_extraction.md,,
N3_hard_70003,N3_hard,loss_run,loss_run,loss_run_extraction.md,38,714517.96
N3_hard_70003,N3_hard,loss_run_csv,loss_run,loss_run_extraction.md,38,714517.96
N3_hard_70003,N3_hard,loss_run_excel,loss_run,loss_run_extraction.md,38,714517.96
N3_hard_70003,N3_hard,policy_form,narrative,narrative_extraction.md,,
N3_hard_70003,N3_hard,sov,sov,sov_extraction.md,8,168230000
N3_hard_70003,N3_hard,sov_excel,sov,sov_extraction.md,8,168230000
N3_hard_70003,N3_hard,supplemental_app,narrative,narrative_extraction.md,,
N3_hard_70003,N3_hard,supplemental_schedule_excel,workbook,narrative_extraction.md,,
N4_expert_70004,N4_expert,acord_101,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_125,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_126,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_127,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_130,narrative,narrative_extraction.md,,
N4_expert_70004,N4_expert,acord_133,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_137,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_140,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_160,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_23,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_24,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_25,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_27,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_28,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_35,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_45,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_75,acord_form,acord_form_extraction.md,,
N4_expert_70004,N4_expert,acord_823,narrative,narrative_extraction.md,,
N4_expert_70004,N4_expert,broker_narrative,narrative,narrative_extraction.md,,
N4_expert_70004,N4_expert,dec_page,dec_page,dec_page_extraction.md,,
N4_expert_70004,N4_expert,driver_schedule,driver_schedule,driver_schedule_extraction.md,15,
N4_expert_70004,N4_expert,driver_schedule_excel,driver_schedule,driver_schedule_extraction.md,15,
N4_expert_70004,N4_expert,engineering_report,engineering_report,engineering_report_extraction.md,5,
N4_expert_70004,N4_expert,experience_mod,narrative,narrative_extraction.md,,
N4_expert_70004,N4_expert,experience_mod_excel,workbook,narrative_extraction.md,,
N4_expert_70004,N4_expert,financial_statement,financial_statement,financial_statement_extraction.md,,
N4_expert_70004,N4_expert,financial_statement_excel,financial_statement,financial_statement_extraction.md,,
N4_expert_70004,N4_expert,hybrid_workbook,workbook,narrative_extraction.md,,
N4_expert_70004,N4_expert,loss_run,loss_run,loss_run_extraction.md,52,1489697.06
N4_expert_70004,N4_expert,loss_run_csv,loss_run,loss_run_extraction.md,52,1489697.06
N4_expert_70004,N4_expert,loss_run_excel,loss_run,loss_run_extraction.md,52,1489697.06
N4_expert_70004,N4_expert,policy_form,narrative,narrative_extraction.md,,
N4_expert_70004,N4_expert,sov,sov,sov_extraction.md,5,39405000
N4_expert_70004,N4_expert,sov_excel,sov,sov_extraction.md,5,39405000
N4_expert_70004,N4_expert,supplemental_app,narrative,narrative_extraction.md,,
N4_expert_70004,N4_expert,supplemental_schedule_excel,workbook,narrative_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_101,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_125,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_126,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_127,acord_form,acord_form_extraction.md,,
